fieldId,date,mean
cover_field,2020-04-14,0.21202657541256156
ref_field,2020-04-14,0.15618419814450668
cover_field,2020-04-19,0.21972454834280483
ref_field,2020-04-19,0.15711277419567365
cover_field,2020-04-29,0.2669773214283141
ref_field,2020-04-29,0.15582955569203596
cover_field,2020-05-02,0.34457290747012065
ref_field,2020-05-02,0.18776818721612085
cover_field,2020-05-04,0.3281234973564899
ref_field,2020-05-04,0.17701785662998296
cover_field,2020-05-07,0.40538550174418253
ref_field,2020-05-07,0.19585061054169572
cover_field,2020-05-14,0.44731574686662223
ref_field,2020-05-14,0.21776471070030448
cover_field,2020-05-19,0.46295077930836953
ref_field,2020-05-19,0.20002851893963405
cover_field,2020-05-22,0.5084970256189385
ref_field,2020-05-22,0.20132598775703228
cover_field,2020-05-27,0.550134643033701
ref_field,2020-05-27,0.21938761688958272
cover_field,2020-06-01,0.5130514722066584
ref_field,2020-06-01,0.21135698578026899
cover_field,2020-06-11,0.42943241558504486
ref_field,2020-06-11,0.2425165824697405
cover_field,2020-06-21,0.35783067274563424
ref_field,2020-06-21,0.3474220748896176
cover_field,2020-06-23,0.4291089036728011
ref_field,2020-06-23,0.35611964807389057
cover_field,2020-06-26,0.4337867121403038
ref_field,2020-06-26,0.39079223682432246
cover_field,2020-07-01,0.5175592952944742
ref_field,2020-07-01,0.5390441662041968
cover_field,2020-07-03,0.5105382659267709
ref_field,2020-07-03,0.5165419007394387
cover_field,2020-07-06,0.5742379263614767
ref_field,2020-07-06,0.5871036019459626
cover_field,2020-07-08,0.594072671607031
ref_field,2020-07-08,0.6757407542923479
cover_field,2020-07-11,0.6319602476675001
ref_field,2020-07-11,0.6753966305120668
cover_field,2020-07-13,0.6174799887791887
ref_field,2020-07-13,0.6766589636368912
cover_field,2020-07-16,0.6293542067640798
ref_field,2020-07-16,0.6939475386771008
cover_field,2020-07-18,0.6778588614996426
ref_field,2020-07-18,0.7559174785647718
cover_field,2020-07-21,0.6444306235089117
ref_field,2020-07-21,0.7676724763916936
cover_field,2020-07-26,0.6431918029345107
ref_field,2020-07-26,0.7892732404579351
cover_field,2020-07-28,0.6128116076037475
ref_field,2020-07-28,0.7660827023113622
cover_field,2020-08-02,0.5351535677449019
ref_field,2020-08-02,0.6538358364162672
cover_field,2020-08-05,0.46115440402519753
ref_field,2020-08-05,0.7358482226927333
cover_field,2020-08-07,0.43839637067889475
ref_field,2020-08-07,0.6953854650046674
cover_field,2020-08-10,0.4122715442141399
ref_field,2020-08-10,0.5733365458640449
cover_field,2020-08-15,0.3653999073514673
ref_field,2020-08-15,0.5085863635598071
cover_field,2020-08-17,0.32847890386607276
ref_field,2020-08-17,0.35861007900760755
cover_field,2020-08-20,0.3116752607351101
ref_field,2020-08-20,0.31858971377893663
cover_field,2020-08-22,0.25550901625996925
ref_field,2020-08-22,0.2627708971608778
cover_field,2020-08-25,0.29927277392638646
ref_field,2020-08-25,0.2732895115009445
cover_field,2020-08-30,0.29433938107082896
ref_field,2020-08-30,0.2625519558909543
cover_field,2020-09-01,0.29776652437447004
ref_field,2020-09-01,0.2580554998263409
cover_field,2020-09-04,0.29729679060432923
ref_field,2020-09-04,0.25391561142209795
cover_field,2020-09-09,0.2667115798984905
ref_field,2020-09-09,0.22950300716050479
cover_field,2020-09-11,0.2711171710289838
ref_field,2020-09-11,0.2284669661335323
cover_field,2020-09-21,0.2656774405186442
ref_field,2020-09-21,0.21345780431387099
ref_field,2020-09-26,0.14440472294446252
cover_field,2020-10-04,0.22103064052341437
ref_field,2020-10-04,0.18331688387379702
cover_field,2020-10-06,0.19207212856703137
ref_field,2020-10-06,0.1635050640844854
cover_field,2020-10-09,0.14201502905803265
ref_field,2020-10-09,0.12645680081740812
cover_field,2020-10-14,0.2591567254567199
ref_field,2020-10-14,0.2052176994235578
cover_field,2020-10-19,0.034220509633566536
ref_field,2020-10-19,0.011300936562200924
cover_field,2020-10-21,0.029385293480129002
ref_field,2020-10-21,0.024170464454221222
cover_field,2020-11-03,0.2511330993640525
ref_field,2020-11-03,0.19153908720070373
cover_field,2020-11-13,-0.009203579592181432
ref_field,2020-11-13,-0.00894962024991571
cover_field,2020-11-20,0.0038275996919247715
ref_field,2020-11-20,-1.463501052178626E-4
cover_field,2020-11-28,-0.01631223194871558
ref_field,2020-11-28,-0.02190938151027884
cover_field,2020-11-30,0.014275254445121835
ref_field,2020-11-30,0.016320380428862583
cover_field,2020-12-03,0.0030313253487995514
ref_field,2020-12-03,0.006454622522633983
cover_field,2020-12-05,0.009707322306138223
ref_field,2020-12-05,0.015350721292226152
cover_field,2020-12-10,0.004420245777228379
ref_field,2020-12-10,-0.004452211572204521
cover_field,2020-12-15,0.0425091587885685
ref_field,2020-12-15,0.03698373901889023
cover_field,2020-12-18,0.05141512822670027
ref_field,2020-12-18,0.05492156173182974
cover_field,2020-12-20,0.1487320556300003
ref_field,2020-12-20,0.12461191361994858
cover_field,2020-12-23,0.028747284644712674
ref_field,2020-12-23,0.029048716136762215
cover_field,2020-12-28,0.02595955033563175
ref_field,2020-12-28,0.030081042801379302
cover_field,2021-01-04,0.056536018654887346
ref_field,2021-01-04,0.09912444349863211
cover_field,2021-01-09,0.053819509470065696
ref_field,2021-01-09,0.08575661349511356
cover_field,2021-01-14,0.035428681266616975
ref_field,2021-01-14,0.05508908213760585
cover_field,2021-01-19,0.012882750251255123
ref_field,2021-01-19,0.013925601202459637
cover_field,2021-02-18,0.0318171862642426
ref_field,2021-02-18,0.03002975902292271
cover_field,2021-02-21,0.031127311819332572
ref_field,2021-02-21,0.04629026865587248
cover_field,2021-02-26,-0.02431658014578426
ref_field,2021-02-26,-0.026561941753481665
cover_field,2021-03-03,0.1702594722692018
ref_field,2021-03-03,0.13758770827301858
cover_field,2021-03-13,0.17665253384700785
ref_field,2021-03-13,0.15234963317391342
cover_field,2021-03-18,0.1803888270917545
ref_field,2021-03-18,0.1504366630387755
cover_field,2021-04-02,0.1913451460862818
ref_field,2021-04-02,0.14091378502012405
cover_field,2021-04-07,0.21729754441799629
ref_field,2021-04-07,0.14109560726649167
cover_field,2021-04-09,0.23879127958364194
ref_field,2021-04-09,0.15956719691667412
cover_field,2021-04-22,0.3102903398543392
ref_field,2021-04-22,0.15679822326106807
cover_field,2021-04-24,0.23066207415182408
ref_field,2021-04-24,0.143104305635879
cover_field,2021-04-27,0.3177853367384149
ref_field,2021-04-27,0.1412417574795598
cover_field,2021-05-09,0.35875905517625206
ref_field,2021-05-09,0.17131557624212068
cover_field,2021-05-17,0.3523200685024992
ref_field,2021-05-17,0.17668445598397226
cover_field,2021-05-19,0.3276956048606233
ref_field,2021-05-19,0.18327918887088998
cover_field,2021-05-27,0.3824485753057148
ref_field,2021-05-27,0.19862004286756213
cover_field,2021-06-01,0.3402979907220284
ref_field,2021-06-01,0.17799257612154631
cover_field,2021-06-03,0.40404934373206564
ref_field,2021-06-03,0.20415658450472057
cover_field,2021-06-06,0.43247619264322473
ref_field,2021-06-06,0.2551896076274431
cover_field,2021-06-13,0.44878499314075987
ref_field,2021-06-13,0.3195602314905876
cover_field,2021-06-16,0.4708622105310063
ref_field,2021-06-16,0.41388179170218997
cover_field,2021-06-21,0.420258748468363
ref_field,2021-06-21,0.4524023807940644
cover_field,2021-06-26,0.4106240885946397
ref_field,2021-06-26,0.5074891117127288
cover_field,2021-06-28,0.3692835525039954
ref_field,2021-06-28,0.5223251564387461
cover_field,2021-07-01,0.35194171161148813
ref_field,2021-07-01,0.5043144877332856
cover_field,2021-07-03,0.3457991496214545
cover_field,2021-07-11,0.29699426230166986
ref_field,2021-07-11,0.3915154248831672
cover_field,2021-07-16,0.2850178615963951
ref_field,2021-07-16,0.35272397208535405
cover_field,2021-07-18,0.2942088136534477
ref_field,2021-07-18,0.3702846733243642
cover_field,2021-07-21,0.2333135551772864
ref_field,2021-07-21,0.26756457553780166
cover_field,2021-07-23,0.2526787113267262
ref_field,2021-07-23,0.28330519861692527
cover_field,2021-07-26,0.2215045785087691
ref_field,2021-07-26,0.24622169791942008
cover_field,2021-07-31,0.21800796968095199
ref_field,2021-07-31,0.23092762130935338
cover_field,2021-08-02,0.22866551452800823
ref_field,2021-08-02,0.23208045873885874
cover_field,2021-08-05,0.2043637482865549
ref_field,2021-08-05,0.20383629035385126
cover_field,2021-08-07,0.08524704234615152
ref_field,2021-08-07,0.10352811627148926
cover_field,2021-08-12,0.21856804972771046
ref_field,2021-08-12,0.19299478511035603
cover_field,2021-08-15,0.08461079471810762
ref_field,2021-08-15,0.10251145440991713
cover_field,2021-08-25,0.37720430865256493
ref_field,2021-08-25,0.1973366932839636
cover_field,2021-08-30,0.41689573425951937
ref_field,2021-08-30,0.19811335368726593
cover_field,2021-09-01,0.4974514824711925
ref_field,2021-09-01,0.1782364455130205
cover_field,2021-09-04,0.4908638701323742
ref_field,2021-09-04,0.20286544954627478
cover_field,2021-09-06,0.4965123673180995
ref_field,2021-09-06,0.2026173133318599
cover_field,2021-09-09,0.5858353800855285
ref_field,2021-09-09,0.22791406901212952
cover_field,2021-09-14,0.5400250678793821
ref_field,2021-09-14,0.22586619866498753
cover_field,2021-09-16,0.5473900153353728
ref_field,2021-09-16,0.2440010356040603
cover_field,2021-09-21,0.5159375610622178
ref_field,2021-09-21,0.23696369119786115
cover_field,2021-09-24,0.5050191051949754
ref_field,2021-09-24,0.24422690307320108
cover_field,2021-09-26,0.45417314672904735
ref_field,2021-09-26,0.22166272287455308
cover_field,2021-09-29,0.4538249288549929
ref_field,2021-09-29,0.22384934938374607
cover_field,2021-10-01,0.4362125729276628
ref_field,2021-10-01,0.21910707234893984
cover_field,2021-10-04,0.42214181775187654
ref_field,2021-10-04,0.2073915509388922
cover_field,2021-10-09,0.4001958551548629
ref_field,2021-10-09,0.18828258401770734
cover_field,2021-10-16,0.40604171652109816
ref_field,2021-10-16,0.21217675948748876
cover_field,2021-10-19,0.40543762981516557
ref_field,2021-10-19,0.20738639444996154
ref_field,2021-10-29,0.1687255402905099
cover_field,2021-10-31,0.38699145391995377
ref_field,2021-10-31,0.2170408415019738
cover_field,2021-11-03,0.374778779684068
ref_field,2021-11-03,0.20744679602452396
cover_field,2021-11-05,0.35373845914129787
ref_field,2021-11-05,0.19431509451728476
cover_field,2021-11-08,0.3466046828360301
ref_field,2021-11-08,0.1962834024076713
cover_field,2021-11-10,0.3003316173629715
ref_field,2021-11-10,0.18473334081856865
cover_field,2021-11-20,0.07952376599630177
ref_field,2021-11-20,0.03173392624898432
cover_field,2021-11-23,0.23965309063247506
ref_field,2021-11-23,0.09958708653322619
cover_field,2021-12-03,0.14878457922500127
ref_field,2021-12-03,0.10932118156472859
cover_field,2021-12-08,-0.005795431396086141
ref_field,2021-12-08,-0.005096342974818175
cover_field,2021-12-10,0.025101878745600985
ref_field,2021-12-10,0.0229157452432696
cover_field,2022-01-02,-0.07566012206310685
ref_field,2022-01-02,-0.05471070335414775
cover_field,2022-01-07,-0.019382858637379628
ref_field,2022-01-07,-0.012197231114486316
cover_field,2022-01-09,0.004032568262010465
ref_field,2022-01-09,-0.003068928104941096
cover_field,2022-01-29,-0.0025952475811305913
ref_field,2022-01-29,-0.015069313479979963
cover_field,2022-02-03,0.018800358207582808
ref_field,2022-02-03,0.004612836982116043
cover_field,2022-02-11,0.05765915421088531
ref_field,2022-02-11,0.022226116773364266
cover_field,2022-02-13,0.13297967226905905
ref_field,2022-02-13,0.07313379363980453
cover_field,2022-02-26,-0.009313484524959243
ref_field,2022-02-26,-0.008874064083709832
cover_field,2022-03-15,-0.0624108941585508
ref_field,2022-03-15,-0.07188506504771214
cover_field,2022-03-18,0.0988468659811715
ref_field,2022-03-18,0.0882683493331922
cover_field,2022-03-25,0.2125430538922954
ref_field,2022-03-25,0.16195042024457562
cover_field,2022-03-30,0.20989131254737364
ref_field,2022-03-30,0.14974205636438875
cover_field,2022-04-07,0.2625054441605679
ref_field,2022-04-07,0.1576016538725293
cover_field,2022-04-09,0.20613616162823992
ref_field,2022-04-09,0.12043642239081688
cover_field,2022-04-24,0.24611832832636904
ref_field,2022-04-24,0.14029421180560817
cover_field,2022-05-02,0.3129661583354589
ref_field,2022-05-02,0.13004037043067526
cover_field,2022-05-14,0.36455184461521134
ref_field,2022-05-14,0.21452326004511243
cover_field,2022-05-17,0.3996120929760387
ref_field,2022-05-17,0.18676548639865598
cover_field,2022-05-24,0.452215267063697
ref_field,2022-05-24,0.2035276298725455
cover_field,2022-06-01,0.4792663867207332
cover_field,2022-06-03,0.46060849144895166
ref_field,2022-06-03,0.21621197959953936
ref_field,2022-06-08,0.21422919641015084
cover_field,2022-06-18,0.4645656601704519
ref_field,2022-06-18,0.28572407951736967
cover_field,2022-06-23,0.4199104442440038
ref_field,2022-06-23,0.3457859749400061
cover_field,2022-06-26,0.4366796074710824
ref_field,2022-06-26,0.41704163307970105
cover_field,2022-06-28,0.40555534233091994
ref_field,2022-06-28,0.406535862897485
cover_field,2022-07-01,0.15036318459169518
ref_field,2022-07-01,0.3240842524997113
cover_field,2022-07-06,0.3290295229309218
ref_field,2022-07-06,0.548298455404305
cover_field,2022-07-08,0.3112798630614486
ref_field,2022-07-08,0.5617961179056317
cover_field,2022-07-11,0.3283707663959524
ref_field,2022-07-11,0.6129054155919613
cover_field,2022-07-13,0.3262638898596467
ref_field,2022-07-13,0.601116395672194
cover_field,2022-07-16,0.30585740638604314
ref_field,2022-07-16,0.6023408768842459
cover_field,2022-07-21,0.3150888221155082
ref_field,2022-07-21,0.6364428874693756
cover_field,2022-07-23,0.38885842240286855
ref_field,2022-07-23,0.6340540710387513
cover_field,2022-07-26,0.3270501311750976
ref_field,2022-07-26,0.6480759240849641
cover_field,2022-07-28,0.2874472530378785
ref_field,2022-07-28,0.6050489716413758
cover_field,2022-07-31,0.2927539769583071
ref_field,2022-07-31,0.6266264739867137
cover_field,2022-08-02,0.28428054811241615
ref_field,2022-08-02,0.5509389925243521
cover_field,2022-08-05,0.2823622412647186
ref_field,2022-08-05,0.5416392801373672
cover_field,2022-08-07,0.2565592109656078
ref_field,2022-08-07,0.4770574221248028
cover_field,2022-08-12,0.24508743845331069
ref_field,2022-08-12,0.34606276259931457
cover_field,2022-08-15,0.239043904856869
ref_field,2022-08-15,0.2880710044379375
cover_field,2022-08-20,0.22216738991274942
ref_field,2022-08-20,0.2642461347732122
cover_field,2022-08-25,0.19890217767064386
ref_field,2022-08-25,0.2257539529197625
cover_field,2022-08-27,0.2146486681676025
ref_field,2022-08-27,0.2371590860999157
cover_field,2022-08-30,0.20177086731873742
ref_field,2022-08-30,0.23109652586590795
cover_field,2022-09-01,0.17119414986860926
ref_field,2022-09-01,0.21445506408833898
cover_field,2022-09-06,0.17854426881821223
ref_field,2022-09-06,0.19218586588846
cover_field,2022-09-11,0.1979017952531572
ref_field,2022-09-11,0.20717627926985538
cover_field,2022-09-19,0.1793289027564426
ref_field,2022-09-19,0.18574605231038419
cover_field,2022-09-21,0.20560310363331216
ref_field,2022-09-21,0.2103412449742943
cover_field,2022-09-26,0.18069260017842512
ref_field,2022-09-26,0.18896319776801204
cover_field,2022-10-04,0.17251861959467085
ref_field,2022-10-04,0.16874614882499264
cover_field,2022-10-06,0.20257200634026679
ref_field,2022-10-06,0.20142095956057024
cover_field,2022-10-11,0.1878125253804747
ref_field,2022-10-11,0.18555774535190914
cover_field,2022-10-19,0.11884635868019044
ref_field,2022-10-19,0.11576301062158002
cover_field,2022-10-26,-0.00865505384665722
